Unless stated otherwise the Canmore dataset contains Ordnance Survey derived data which is delivered through Canmore website under the terms of the OPEN GOVERNMENT End User Licence.
http://www.ordnancesurvey.co.uk/docs/licences/os-opendata-licence.pdf
"Canmore-download-Mon, 04 Nov 2019 10:12:48 +0000.csv"


CANMORE ID,SITE NUMBER,SITE NAME,SITE TYPE,SITE EASTING,SITE NORTHING,COUNCIL,COUNTY,PARISH,NGR,URL
"17978","NJ56SW 10","Gaulcross South","Stone Circle (Neol/bronze Age)","353500","863870","ABERDEENSHIRE","BANFFSHIRE","FORDYCE","NJ 5350 6387","http://canmore.org.uk/site/17978",
"18131","NJ62NW 12","Broomend","Cist (Period Unassigned)(Possible), Stone Circle (Neol/bronze Age)","363300","825790","ABERDEENSHIRE","ABERDEENSHIRE","PREMNAY","NJ 6330 2579","http://canmore.org.uk/site/18131",
"18230","NJ63NE 7","West Haughs","Stone Circle (Neol/bronze Age)","368270","838580","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 6827 3858","http://canmore.org.uk/site/18230",
"18328","NJ64NE 9","Greymuir Cairn","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)","367510","845200","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6751 4520","http://canmore.org.uk/site/18328",
"36818","NO87NW 5","Montgoldrum, 'the Camp'","Cairn (Period Unassigned), Recumbent Stone Circle (Neol/bronze Age)","381670","777200","ABERDEENSHIRE","KINCARDINESHIRE","ARBUTHNOTT","NO 8167 7720","http://canmore.org.uk/site/36818",
"39228","NR83SE 1","Arran, Auchengallon","Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","189287","634646","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 89287 34646","http://canmore.org.uk/site/39228",
"39702","NR93SW 13","Arran, Machrie Moor 2","Cist (Neol/bronze Age), Inhumation (Prehistoric)(Possible), Stone Circle (Neol/bronze Age), Flake(S) (Flint), Food Vessel, Millstone(S)","191130","632420","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91130 32420","http://canmore.org.uk/site/39702",
"17302","NJ44NW 2","Edintore","Cairn (Period Unassigned)","342890","846660","MORAY","BANFFSHIRE","KEITH","NJ 4289 4666","http://canmore.org.uk/site/17302",
"17936","NJ56NE 4","Sandend","Barrow (Prehistoric)","356000","865700","ABERDEENSHIRE","BANFFSHIRE","FORDYCE","NJ 560 657","http://canmore.org.uk/site/17936",
"18029","NJ61NE 1","Deer Park","Stone Circle (Bronze Age)","368330","815640","ABERDEENSHIRE","ABERDEENSHIRE","MONYMUSK","NJ 6833 1564","http://canmore.org.uk/site/18029",
"18394","NJ65SE 1","North Burreldales","Stone Circle (Neol/bronze Age)","367580","854910","ABERDEENSHIRE","BANFFSHIRE","ALVAH","NJ 6758 5491","http://canmore.org.uk/site/18394",
"18398","NJ65SE 13","Cairn Ennit","Cairn (Prehistoric)","367810","850450","ABERDEENSHIRE","BANFFSHIRE","FORGLEN","NJ 6781 5045","http://canmore.org.uk/site/18398",
"20856","NK02NW 3","Sands Of Forvie","Ring Cairn (Neol/bronze Age)","401080","826280","ABERDEENSHIRE","ABERDEENSHIRE","SLAINS","NK 0108 2628","http://canmore.org.uk/site/20856",
"35277","NO59NW 1","Image Wood","Four Poster Stone Circle (Bronze Age)(Possible)","352400","799040","ABERDEENSHIRE","ABERDEENSHIRE","ABOYNE AND GLENTANAR","NO 5240 9904","http://canmore.org.uk/site/35277",
"36785","NO87NW 1","Mitton Hill","Cairn (Period Unassigned)","382720","779110","ABERDEENSHIRE","KINCARDINESHIRE","KINNEFF","NO 8272 7911","http://canmore.org.uk/site/36785",
"39704","NR93SW 15","Arran, Machrie Moor 11","Plough Marks, Stone Circle (Neol/bronze Age), Timber Circle (Neolithic)","191213","632426","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91213 32426","http://canmore.org.uk/site/39704",
"17935","NJ56NE 31","Sandend","Cairn (Bronze Age)","356010","865710","ABERDEENSHIRE","BANFFSHIRE","FORDYCE","NJ 5601 6571","http://canmore.org.uk/site/17935",
"16524","NJ26SE 11","Bogton","Stone Circle (Neol/bronze Age)","327440","860750","MORAY","MORAYSHIRE","ST ANDREWS-LHANBRYD","NJ 2744 6075","http://canmore.org.uk/site/16524",
"16972","NJ40NE 1","Melgum","Cairn (Period Unassigned), Enclosure(S) (Period Unassigned)","347140","805240","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 4714 0524","http://canmore.org.uk/site/16972",
"17579","NJ51SE 1","Drumfours","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","356080","811040","ABERDEENSHIRE","ABERDEENSHIRE","LEOCHEL-CUSHNIE","NJ 5608 1104","http://canmore.org.uk/site/17579",
"17648","NJ52NW 10","Newbigging","Paving (Period Unassigned), Stone Circle (Neol/bronze Age)(Possible)","352850","826520","ABERDEENSHIRE","ABERDEENSHIRE","CLATT","NJ 5285 2652","http://canmore.org.uk/site/17648",
"17695","NJ52SE 24","Leslie Parish","Stone Circle (Neol/bronze Age)","","","ABERDEENSHIRE","ABERDEENSHIRE","LESLIE (GORDON)","NJ  ","http://canmore.org.uk/site/17695",
"17726","NJ53NE 10","Stoneyfield","Stone Circle (Neol/bronze Age)","358920","837620","ABERDEENSHIRE","ABERDEENSHIRE","DRUMBLADE","NJ 5892 3762","http://canmore.org.uk/site/17726",
"18583","NJ71NE 27","Hill Of Tuack","Cremation(S) (Period Unassigned), Ring Ditch (Period Unassigned), Stone Circle (Neol/bronze Age), Blade (Bronze), Cinerary Urn(S), Food Vessel","379570","815440","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7957 1544","http://canmore.org.uk/site/18583",
"18621","NJ71NE 6","Broomend Of Crichie","Cist(S) (Period Unassigned), Henge (Neol/bronze Age), Stone Circle (Neol/bronze Age), Timber Circle (Bronze Age), Battleaxe, Cinerary Urn(S)","377920","819670","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7792 1967","http://canmore.org.uk/site/18621",
"18882","NJ72SE 12","Brandsbutt","Stone Circle (Neol/bronze Age)","376000","822400","ABERDEENSHIRE","ABERDEENSHIRE","INVERURIE","NJ 7600 2240","http://canmore.org.uk/site/18882",
"25447","NN82SE 26","Monzie","Cup And Ring Marked Stone (Prehistoric), Cup Marked Stone (Prehistoric), Kerb Cairn (Prehistoric), Unidentified Pottery (Neolithic)","288160","724170","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8816 2417","http://canmore.org.uk/site/25447",
"25727","NN85SE 9","Lundin","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric), Four Poster Stone Circle (Bronze Age), Beaker(S)","288060","750560","PERTH AND KINROSS","PERTHSHIRE","LOGIERAIT","NN 8806 5056","http://canmore.org.uk/site/25727",
"16982","NJ40NE 9","Doune Hill","Cairn (Period Unassigned)","348000","806000","ABERDEENSHIRE","ABERDEENSHIRE","TARLAND","NJ 48 06","http://canmore.org.uk/site/16982",
"18325","NJ64NE 6","Backhill Of Drachlaw","Stone Circle (Neol/bronze Age)","367290","846330","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6729 4633","http://canmore.org.uk/site/18325",
"39699","NR93SW 10","Arran, Machrie Moor","Stone Circle(S) (Neol/bronze Age)","190876","632351","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 90876 32351","http://canmore.org.uk/site/39699",
"4167","NB23SW 2","Lewis, Callanish, Cnoc Fillibhir Bheag, 'tursachan'","Stone Circle (Neol/bronze Age)","122517","932712","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 22517 32712","http://canmore.org.uk/site/4167",
"39700","NR93SW 11","Arran, Machrie Moor 3","Stone Circle (Neol/bronze Age)","191006","632457","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91006 32457","http://canmore.org.uk/site/39700",
"2105","HY31SW 2","Stones Of Stenness","Henge (Neol/bronze Age), Stone Circle (Neol/bronze Age)","330670","1012520","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 3067 1252","http://canmore.org.uk/site/2105",
"15764","NJ04SW 4","Lynagowan","Stone Circle (Neol/bronze Age)","304800","841400","MORAY","MORAYSHIRE","EDINKILLIE (MORAY)","NJ 048 414","http://canmore.org.uk/site/15764",
"17668","NJ52NW 3","Mill Of Noth","Standing Stone(S) (Prehistoric)","350330","827790","ABERDEENSHIRE","ABERDEENSHIRE","RHYNIE","NJ 5033 2779","http://canmore.org.uk/site/17668",
"17852","NJ54NW 7","Avochie","Cup And Ring Marked Stone (Prehistoric)","353980","846840","ABERDEENSHIRE","ABERDEENSHIRE","HUNTLY","NJ 5398 4684","http://canmore.org.uk/site/17852",
"17897","NJ55SE 1","Thorax","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","358220","854950","ABERDEENSHIRE","BANFFSHIRE","MARNOCH","NJ 5822 5495","http://canmore.org.uk/site/17897",
"17915","NJ55SE 6","St Marnan's Chair","Standing Stone(S) (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","359709","850199","ABERDEENSHIRE","BANFFSHIRE","MARNOCH","NJ 59709 50199","http://canmore.org.uk/site/17915",
"18464","NJ66SE 31","Gavenie Braes","Stone Circle (Bronze Age)","369380","862930","ABERDEENSHIRE","BANFFSHIRE","BANFF","NJ 6938 6293","http://canmore.org.uk/site/18464",
"18632","NJ71NE 7","Broomend Of Crichie North","Cairn (Period Unassigned)","377930","819750","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7793 1975","http://canmore.org.uk/site/18632",
"18800","NJ72NW 2","Daviot Church","Stone Circle (Neol/bronze Age)","374950","828237","ABERDEENSHIRE","ABERDEENSHIRE","DAVIOT","NJ 74950 28237","http://canmore.org.uk/site/18800",
"19480","NJ81NW 2","Peat Hill","Standing Stone (Prehistoric), Cinerary Urn","382110","819060","ABERDEENSHIRE","ABERDEENSHIRE","KEITHHALL AND KINKELL","NJ 8211 1906","http://canmore.org.uk/site/19480",
"19589","NJ81SW 5","Kinellar Parish Church","Burial Ground (Period Unassigned), Church (Period Unassigned), Knocking Stone (Period Unassigned), Stone (Period Unassigned), Stone Circle (Neol/bronze Age)(Possible), Wall(S) (Period Unassigned)","382151","814440","ABERDEENSHIRE","ABERDEENSHIRE","KINELLAR","NJ 82151 14440","http://canmore.org.uk/site/19589",
"21114","NK05SW 4","Gray Stone, Cortiecram","Standing Stone (Prehistoric), Stone Circle (Neol/bronze Age)(Possible)","402710","850710","ABERDEENSHIRE","ABERDEENSHIRE","LONMAY","NK 0271 5071","http://canmore.org.uk/site/21114",
"25461","NN82SE 4","Ferntower","Cup Marked Stone (Prehistoric)(Possible), Four Poster Stone Circle (Bronze Age)","287400","722620","PERTH AND KINROSS","PERTHSHIRE","CRIEFF","NN 8740 2262","http://canmore.org.uk/site/25461",
"26308","NN95NW 5","Clachan An Diridh","Four Poster Stone Circle (Bronze Age)","292510","755740","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NN 9251 5574","http://canmore.org.uk/site/26308",
"28157","NO12NW 28","Sandy Road, Scone","Stone Circle (Neol/bronze Age)","313270","726460","PERTH AND KINROSS","PERTHSHIRE","SCONE","NO 1327 2646","http://canmore.org.uk/site/28157",
"28881","NO14SE 15","Leys Of Marlee","Stone Circle (Neol/bronze Age)","315990","743880","PERTH AND KINROSS","PERTHSHIRE","KINLOCH","NO 1599 4388","http://canmore.org.uk/site/28881",
"29980","NO20SE 4","Balbirnie","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age), Unidentified Pottery (Neolithic)","328500","703040","FIFE","FIFE","MARKINCH","NO 2850 0304","http://canmore.org.uk/site/29980",
"35314","NO59SE 3","Corsedardar","Standing Stone (Prehistoric)","359540","793970","ABERDEENSHIRE","ABERDEENSHIRE","BIRSE","NO 5954 9397","http://canmore.org.uk/site/35314",
"36304","NO76NE 1","The Cloch","Recumbent Stone Circle (Neol/bronze Age)","378120","767940","ABERDEENSHIRE","KINCARDINESHIRE","BENHOLM","NO 7812 6794","http://canmore.org.uk/site/36304",
"37069","NO89NE 4","Auchlee","Building (Period Unassigned), Recumbent Stone Circle (Neol/bronze Age)","389040","796885","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-DEVENICK","NO 89040 96885","http://canmore.org.uk/site/37069",
"279962","NJ95SW 35","Auchorthie","Stone Circle (Neol/bronze Age)(Possible)","392300","852500","ABERDEENSHIRE","ABERDEENSHIRE","STRICHEN","NJ 923 525","http://canmore.org.uk/site/279962",
"14281","NH74SE 6","Milton Of Clava North","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","275246","843974","HIGHLAND","INVERNESS-SHIRE","CROY AND DALCROSS (INVERNESS)","NH 75246 43974","http://canmore.org.uk/site/14281",
"14927","NH81SE 1","Aviemore","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","289700","813470","HIGHLAND","INVERNESS-SHIRE","DUTHIL AND ROTHIEMURCHUS","NH 8970 1347","http://canmore.org.uk/site/14927",
"15779","NJ05NE 4","Templestone","Four Poster Stone Circle (Bronze Age)","306830","856930","MORAY","MORAYSHIRE","RAFFORD","NJ 0683 5693","http://canmore.org.uk/site/15779",
"17541","NJ51NE 3","The Auld Kirk Of Alford","Ring Cairn (Neol/bronze Age)(Possible)","356510","816300","ABERDEENSHIRE","ABERDEENSHIRE","ALFORD","NJ 5651 1630","http://canmore.org.uk/site/17541",
"18272","NJ63SW 1","Colpy","Stone Circle (Neol/bronze Age), Cinerary Urn","364110","832610","ABERDEENSHIRE","ABERDEENSHIRE","CULSALMOND","NJ 6411 3261","http://canmore.org.uk/site/18272",
"18361","NJ64SW 1","Raich","Four Poster Stone Circle (Bronze Age)","361870","843650","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 6187 4365","http://canmore.org.uk/site/18361",
"18572","NJ71NE 17","Cairnhall","Stone Circle (Neol/bronze Age)","378500","817590","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7850 1759","http://canmore.org.uk/site/18572",
"19809","NJ83SE 12","South Ythsie","Stone Circle (Neol/bronze Age)","388490","830390","ABERDEENSHIRE","ABERDEENSHIRE","TARVES","NJ 8849 3039","http://canmore.org.uk/site/19809",
"19846","NJ83SE 6","Shethin, 'stone Circle'","Cairn (Period Unassigned)","388150","832800","ABERDEENSHIRE","ABERDEENSHIRE","TARVES","NJ 88150 32800","http://canmore.org.uk/site/19846",
"26198","NN93NE 1","Meikle Findowie","Stone Circle (Neol/bronze Age)","295900","738680","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NN 9590 3868","http://canmore.org.uk/site/26198",
"28708","NO14NE 12","Craighall","Four Poster Stone Circle (Bronze Age)","318420","748070","PERTH AND KINROSS","PERTHSHIRE","RATTRAY","NO 1842 4807","http://canmore.org.uk/site/28708",
"29165","NO15SE 5","Parkneuk","Four Poster Stone Circle (Bronze Age)","319530","751450","PERTH AND KINROSS","PERTHSHIRE","BENDOCHY","NO 1953 5145","http://canmore.org.uk/site/29165",
"29209","NO15SE 9","Woodside, Hill Of Drimmie","Stone Circle (Neol/bronze Age)","318480","750050","PERTH AND KINROSS","PERTHSHIRE","RATTRAY","NO 1848 5005","http://canmore.org.uk/site/29209",
"47919","NS97SE 16","Cairnpapple","Cairn (Period Unassigned), Henge (Neol/bronze Age)","298720","671730","WEST LOTHIAN","WEST LOTHIAN","TORPHICHEN","NS 9872 7173","http://canmore.org.uk/site/47919",
"14229","NH74NW 4","Cullernie","Ring Cairn (Neol/bronze Age)","272500","847690","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 7250 4769","http://canmore.org.uk/site/14229",
"16016","NJ13NE 9","Lagmore West","Chambered Cairn (Neolithic)","317650","835830","MORAY","BANFFSHIRE","INVERAVON","NJ 1765 3583","http://canmore.org.uk/site/16016",
"18228","NJ63NE 5","Logie Newton","Kerb Cairn(S) (Prehistoric)","365940","839100","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 6594 3910","http://canmore.org.uk/site/18228",
"4156","NB23SW 1","Lewis, Callanish","Avenue, Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age), Stone Row(S) (Neol/bronze Age)","121300","933017","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 21300 33017","http://canmore.org.uk/site/4156",
"4170","NB23SW 4","Lewis, Garynahine, 'tursachan'","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)","122970","930420","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 2297 3042","http://canmore.org.uk/site/4170",
"39701","NR93SW 12","Arran, Machrie Moor 4","Stone Circle (Neol/bronze Age)","191001","632355","NORTH AYRSHIRE","BUTESHIRE","KILMORY","NR 91001 32355","http://canmore.org.uk/site/39701",
"4143","NB22NW 1","Lewis, Garynahine, Airidh Nam Bidearan, 'tursachan'","Stone Circle (Neol/bronze Age)","123420","929890","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 2342 2989","http://canmore.org.uk/site/4143",
"4169","NB23SW 3","Lewis, Callanish, 'tursachan'","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)","122215","932617","WESTERN ISLES","ROSS AND CROMARTY","UIG","NB 22215 32617","http://canmore.org.uk/site/4169",
"1696","HY21SE 1","Ring Of Brodgar","Henge (Neol/bronze Age), Rune Inscribed Stone (Norse), Stone Circle (Neol/bronze Age)","329450","1013350","ORKNEY ISLANDS","ORKNEY","STENNESS","HY 2945 1335","http://canmore.org.uk/site/1696",
"13184","NH63NW 5","Kinchyle Of Dores","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","262150","838960","HIGHLAND","INVERNESS-SHIRE","DORES","NH 6215 3896","http://canmore.org.uk/site/13184",
"13505","NH64SE 23","Druidtemple","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","268510","842010","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 6851 4201","http://canmore.org.uk/site/13505",
"13542","NH64SW 1","Torbreck","Stone Circle (Neol/bronze Age)","264373","840387","HIGHLAND","INVERNESS-SHIRE","INVERNESS AND BONA","NH 64373 40387","http://canmore.org.uk/site/13542",
"14123","NH73NW 6","Midlairgs","Chambered Cairn (Neolithic), Stone Circle (Neol/bronze Age)","271230","836840","HIGHLAND","INVERNESS-SHIRE","DAVIOT AND DUNLICHITY","NH 7123 3684","http://canmore.org.uk/site/14123",
"15398","NH91NW 5","Grenish","Ring Cairn (Neol/bronze Age), Stone Circle (Neol/bronze Age)","290780","815500","HIGHLAND","INVERNESS-SHIRE","DUTHIL AND ROTHIEMURCHUS","NH 9078 1550","http://canmore.org.uk/site/15398",
"16993","NJ40NW 19","Knocksoul","Cairn(S) (Bronze Age), Cist (Bronze Age)","342145","806967","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 42145 06967","http://canmore.org.uk/site/16993",
"17039","NJ40SE 4","Waulkmill","Stone Circle (Neol/bronze Age)","347530","804990","ABERDEENSHIRE","ABERDEENSHIRE","LOGIE-COLDSTONE","NJ 4753 0499","http://canmore.org.uk/site/17039",
"17259","NJ43NE 5","Garran Burn","Stone Circle (Neol/bronze Age)","348092","839859","ABERDEENSHIRE","ABERDEENSHIRE","HUNTLY","NJ 48092 39859","http://canmore.org.uk/site/17259",
"17327","NJ44SW 1","Corshalloch","Kerb Cairn (Prehistoric)(Possible)","341800","841960","ABERDEENSHIRE","ABERDEENSHIRE","GLASS","NJ 4180 4196","http://canmore.org.uk/site/17327",
"17589","NJ51SE 3","Howemill","Cup Marked Stone (Prehistoric), Four Poster Stone Circle (Bronze Age)","358040","810710","ABERDEENSHIRE","ABERDEENSHIRE","TOUGH","NJ 5804 1071","http://canmore.org.uk/site/17589",
"17636","NJ52NE 3","Ardlair","Pictish Symbol Stone (Pictish), Standing Stone (Prehistoric)","355470","827840","ABERDEENSHIRE","ABERDEENSHIRE","KENNETHMONT","NJ 5547 2784","http://canmore.org.uk/site/17636",
"17781","NJ53SW 11","The Candy Stone","Stone Circle (Neol/bronze Age)","353360","830360","ABERDEENSHIRE","ABERDEENSHIRE","KENNETHMONT","NJ 5336 3036","http://canmore.org.uk/site/17781",
"18000","NJ60NE 2","Balblair","Standing Stone (Prehistoric)","369870","806610","ABERDEENSHIRE","ABERDEENSHIRE","MIDMAR","NJ 6987 0661","http://canmore.org.uk/site/18000",
"18064","NJ61SE 2","Tombeg","Recumbent Stone Circle (Bronze Age), Rubbing Stone (19th Century), Standing Stone (Bronze Age), Stone Circle (Bronze Age)","367930","814260","ABERDEENSHIRE","ABERDEENSHIRE","MONYMUSK","NJ 6793 1426","http://canmore.org.uk/site/18064",
"18324","NJ64NE 5","Backhill Of Drachlaw","Stone Circle (Neol/bronze Age)","367090","846300","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6709 4630","http://canmore.org.uk/site/18324",
"18326","NJ64NE 7","Crofts Of Shielburn","Standing Stone (Prehistoric)","367570","846330","ABERDEENSHIRE","BANFFSHIRE","INVERKEITHNY","NJ 6757 4633","http://canmore.org.uk/site/18326",
"18369","NJ64SW 5","Auchaber","Stone Circle (Neol/bronze Age)(Possible)","363210","840330","ABERDEENSHIRE","ABERDEENSHIRE","FORGUE","NJ 6321 4033","http://canmore.org.uk/site/18369",
"18397","NJ65SE 12","Whitehill Wood","Stone Circle (Neol/bronze Age)","367820","850510","ABERDEENSHIRE","BANFFSHIRE","FORGLEN","NJ 6782 5051","http://canmore.org.uk/site/18397",
"18569","NJ71NE 14","Fullerton","Stone Circle (Neol/bronze Age), Unidentified Pottery (Iron Age)","378390","817970","ABERDEENSHIRE","ABERDEENSHIRE","KINTORE","NJ 7839 1797","http://canmore.org.uk/site/18569",
"18675","NJ71NW 28","The Ark Stone","Stone (Period Unassigned)","370580","819080","ABERDEENSHIRE","ABERDEENSHIRE","CHAPEL OF GARIOCH","NJ 7058 1908","http://canmore.org.uk/site/18675",
"18823","NJ72NW 4","New Craig","Cup Marked Stone (Prehistoric)","374580","829680","ABERDEENSHIRE","ABERDEENSHIRE","DAVIOT","NJ 7458 2968","http://canmore.org.uk/site/18823",
"18860","NJ72SE 1","Balhalgardy","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","375980","824310","ABERDEENSHIRE","ABERDEENSHIRE","CHAPEL OF GARIOCH","NJ 7598 2431","http://canmore.org.uk/site/18860",
"19092","NJ73NW 1","Burreldales","Cairn (Period Unassigned), Stone Circle (Neol/bronze Age)","373770","839540","ABERDEENSHIRE","ABERDEENSHIRE","AUCHTERLESS","NJ 7377 3954","http://canmore.org.uk/site/19092",
"19369","NJ80NW 9","Gask","Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","380180","806380","ABERDEENSHIRE","ABERDEENSHIRE","SKENE","NJ 8018 0638","http://canmore.org.uk/site/19369",
"20448","NJ93NW 2","Mill Of Schivas","Stone Circle (Neol/bronze Age)","390030","835700","ABERDEENSHIRE","ABERDEENSHIRE","TARVES","NJ 9003 3570","http://canmore.org.uk/site/20448",
"20512","NJ93SW 1","The Candle Stone, Drumwhindle","Standing Stone (Prehistoric)","392140","834850","ABERDEENSHIRE","ABERDEENSHIRE","ELLON","NJ 9214 3485","http://canmore.org.uk/site/20512",
"20757","NJ95SW 5","White Cow Wood","Cairn (Period Unassigned), Ring (Possible)","394720","851920","ABERDEENSHIRE","ABERDEENSHIRE","OLD DEER","NJ 9472 5192","http://canmore.org.uk/site/20757",
"21064","NK04SE 7","Green Hill","Standing Stone (Prehistoric)","409680","840070","ABERDEENSHIRE","ABERDEENSHIRE","CRUDEN","NK 0968 4007","http://canmore.org.uk/site/21064",
"21098","NK05NW 1","Cortie Brae","Stone Circle (Neol/bronze Age)(Possible)","401010","859240","ABERDEENSHIRE","ABERDEENSHIRE","RATHEN","NK 0101 5924","http://canmore.org.uk/site/21098",
"24537","NN64SE 1","Machuim","Cairn (Period Unassigned), Cup Marked Stone (Prehistoric), Stone Circle (Neol/bronze Age)","268201","740156","PERTH AND KINROSS","PERTHSHIRE","KENMORE (PERTH AND KINROSS)","NN 68201 40156","http://canmore.org.uk/site/24537",
"24808","NN72NE 1","Balmuick","Stone Circle (Neol/bronze Age)","278370","725150","PERTH AND KINROSS","PERTHSHIRE","MONZIEVAIRD AND STROWAN","NN 7837 2515","http://canmore.org.uk/site/24808",
"24934","NN74NE 51","Comrie Bridge","Stone Circle (Neol/bronze Age)","278900","747900","PERTH AND KINROSS","PERTHSHIRE","KENMORE (PERTH AND KINROSS)","NN 789 479","http://canmore.org.uk/site/24934",
"24971","NN74NW 17","Cromrar","Cup Marked Stone (Prehistoric)","272340","745070","PERTH AND KINROSS","PERTHSHIRE","FORTINGALL","NN 7234 4507","http://canmore.org.uk/site/24971",
"25554","NN83SE 1","Ossian's Stone, Sma' Glen","Cist (Period Unassigned), Stone (Period Unassigned), Wall (Period Unassigned)","289530","730600","PERTH AND KINROSS","PERTHSHIRE","FOWLIS WESTER","NN 8953 3060","http://canmore.org.uk/site/25554",
"25651","NN84NW 4","Carse Farm","Four Poster Stone Circle (Bronze Age), Cinerary Urn","280220","748730","PERTH AND KINROSS","PERTHSHIRE","DULL","NN 8022 4873","http://canmore.org.uk/site/25651",
"26206","NN93NW 2","Little Findowie","Standing Stone (Prehistoric)","294480","738650","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NN 9448 3865","http://canmore.org.uk/site/26206",
"26207","NN93NW 3","Little Findowie","Building (Period Unassigned), Cup Marked Stone (Prehistoric), Enclosure (Period Unassigned)","294870","738690","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NN 9487 3869","http://canmore.org.uk/site/26207",
"26311","NN95NW 8","Faskally Cottages","Stone Circle (Neol/bronze Age)","293010","758770","PERTH AND KINROSS","PERTHSHIRE","MOULIN","NN 9301 5877","http://canmore.org.uk/site/26311",
"26733","NO02NE 24","Moneydie","Stone Circle (Neol/bronze Age)(Possible)","305880","728810","PERTH AND KINROSS","PERTHSHIRE","MONEYDIE","NO 0588 2881","http://canmore.org.uk/site/26733",
"28591","NO13NW 4","Murthly Hospital","Stone Circle (Neol/bronze Age), Cinerary Urn(S)","310270","738510","PERTH AND KINROSS","PERTHSHIRE","LITTLE DUNKELD","NO 1027 3851","http://canmore.org.uk/site/28591",
"28710","NO14NE 14","Broad Moss","Standing Stone(S) (Prehistoric)","319840","747710","PERTH AND KINROSS","PERTHSHIRE","RATTRAY","NO 1984 4771","http://canmore.org.uk/site/28710",
"29990","NO20SE 5","Balfarg","Grave (Period Unassigned), Henge (Neol/bronze Age), Inhumation (Period Unassigned), Standing Stone(S) (Prehistoric), Timber Circle (Neolithic), Beaker, Unidentified Pottery (Neolithic)","328198","703123","FIFE","FIFE","MARKINCH","NO 28198 03123","http://canmore.org.uk/site/29990",
"33744","NO45SE 1","Carse Grey","Four Poster Stone Circle (Bronze Age)(Possible)","346230","753880","ANGUS","ANGUS","RESCOBIE","NO 4623 5388","http://canmore.org.uk/site/33744",
"36188","NO69NE 4","Inchmarlo","Standing Stone (Prehistoric)","368240","796130","ABERDEENSHIRE","KINCARDINESHIRE","BANCHORY-TERNAN","NO 6824 9613","http://canmore.org.uk/site/36188",
"36197","NO69NW 4","Inchbrae","Stone Circle (Neol/bronze Age)","361000","796000","ABERDEENSHIRE","ABERDEENSHIRE","BIRSE","NO 61 96","http://canmore.org.uk/site/36197",
"36742","NO79SW 45","'the Suitor's Mither', Upperton","Non Antiquity","373890","792130","ABERDEENSHIRE","KINCARDINESHIRE","DURRIS","NO 7389 9213","http://canmore.org.uk/site/36742",
